Title,Date of composition (Morley-Bruerton/philology),Date of composition (Stilometry),Publication,Date of publication,Genre,Subgenre,File,Source
"Abanillo, El",1615,1610-1624,Manuscrito,Sin fecha,Comedia,Urbano,ABANILLO_EL.txt,Artelope
"Acero de Madrid, El",1608-1612,1600-1614,Parte XI,1618,Comedia,Urbano,ACERO_DE_MADRID_EL.txt,Artelope
Adonis y Venus,1597-1603,1615-1629,Parte XVI,1621,Drama,Mitológico,ADONIS_Y_VENUS.txt,Artelope
Al pasar del arroyo,1616,1605-1619,Parte XII,1619,Comedia,Urbano,AL_PASAR_EL_ARROYO.txt,Artelope
"Alcaide de Madrid, El",1599,1587-1604,Parte XIII,1620,Drama,Historial religioso,ALCAIDE_DE_MADRID_EL.txt,Artelope
"Alcalde mayor, El",1604-1612,1600-1614,Parte XIII,1620,Comedia,Urbano,ALCALDE_MAYOR_EL.txt,Artelope
"Almenas de toro, Las",1610-1613,1605-1619,Parte XIV,1620,Drama,Historial profano,ALMENAS_DE_TORO_LAS.txt,Artelope
"Amante agradecido, El",1602,1595-1609,Parte X,1618,Comedia,Urbano,AMANTE_AGRADECIDO_EL.txt,Artelope
"Amantes sin amor, Los",1601-1602,1595-1609,Parte XIV,1620,Comedia,Urbano,AMANTES_SIN_AMOR_LOS.txt,Artelope
Amar como se ha de amar,1620-1625,1615-1629,Suelta,Sin fecha,Comedia,Palatino,AMAR_COMO_SE_HA_DE_AMAR.txt,Artelope
Amar sin saber a quién,1620-1622,1615-1629,Parte XXII,1635,Comedia,Urbano,AMAR_SIN_SABER_A_QUIEN.txt,Artelope
"Amar, servir y esperar",1618-1623,1620-1634,Parte XXII,1635,Comedia,Urbano,AMAR_SERVIR_Y_ESPERAR.txt,Artelope
"Amigo hasta la muerte, El",1610-1612,1600-1614,Parte XI,1618,Drama,Historial profano,AMIGO_HASTA_LA_MUERTE_EL.txt,Artelope
"Amigo por fuerza, El",1599,1587-1604,Parte IV,1614,Comedia,Palatino,AMIGO_POR_FUERZA_EL.txt,Artelope
"Amistad pagada, La",1599-1603,1587-1604,Parte I,1604,Drama,Historial profano,AMISTAD_PAGADA_LA.txt,Artelope
Amistad y obligación,1622-1623,1615-1629,Colección de diferentes autores. Parte XXII,1630,Comedia,Palatino,AMISTADO_Y_OBLIGACION_LA.txt,Artelope
Amor con vista,1626,1620-1634,Manuscrito,Sin fecha,Comedia,Urbano,AMOR_CON_VISTA.txt,Artelope
"Amor desatinado, El",1597,1587-1604,Manuscrito,Sin fecha,Drama,Palatino,AMOR_DESATINADO_EL.txt,Artelope
"Amor enamorado, El",1632-1635,1620-1634,La Vega del Parnaso,1637,Drama,Mitológico,LOPE_AMORENAMORADO.txt,Artelope
Amor secreto hasta celos,1614,1612-1615,Parte XIX,1624,Comedia,Palatino,AMOR_SECRETO_HASTA_CELOS.txt,Artelope
"Amor, pleito y desafío",1621,1615-1629,Parte XXII,1635,Comedia,Palatino,AMOR_PLEITO_Y_DESAFIO.txt,Artelope
"Amores de Albanio y Ismenia, Los",1590-1595,1587-1604,Manuscrito,Sin fecha,Comedia,Pastoril,AMORES_ALBANIO_Y_ISMENIA_LOS.txt,Artelope
Angélica en el Catay,1599,1587-1604,Parte VIII,1617,Drama,Caballeresco,ANGELICA_EN_EL_CATAY.txt,Artelope
