Place_name_normalised,Occurrences_plays,Total_Occurrences
España,292,2769
Castilla,166,1311
Francia,184,1083
Roma,221,1055
Madrid,113,894
Toledo,137,870
Aragón,106,793
Sevilla,111,781
Italia,203,712
Granada,89,613
León,64,485
Nápoles,84,477
Valencia,78,422
París,60,393
Flandes,123,385
Troya,190,344
Argel,83,331
Hungría,46,300
Portugal,83,300
Navarra,56,297
Milán,57,290
África,98,254
Barcelona,66,250
Grecia,125,225
Córdoba,77,223
Zaragoza,50,211
Sicilia,54,210
Inglaterra,55,209
Oriente,110,185
Alemania,78,184
Florencia,28,180
Tajo,68,175
Indias occidentales,60,173
Asia,63,172
Jerusalén,54,147
Libia,77,132
Orán,41,132
Europa,86,126
Burgos,23,123
Albania,33,121
Bretaña,17,121
Salamanca,41,118
Prado,30,117
Egipto,63,114
Venecia,42,114
Génova,24,108
Persia,42,108
Galicia,40,105
Valladolid,36,89
Malta,16,87
Arabia,63,86
Asturias,26,85
Zamora,32,85
Atenas,33,84
Lisboa,27,82
Murcia,9,81
Túnez,31,79
Polonia,14,76
Betis,46,73
Escocia,16,73
Mantua,15,73
Andalucía,46,72
Israel,33,69
Ferrara,12,68
Londres,14,68
Jaén,19,67
Alba,15,66
Alhambra,21,66
Irlanda,12,66
Manzanares,24,66
Constantinopla,37,65
Bohemia,16,64
Cleves,10,64
Arcadia,18,63
China,52,62
Chipre,31,62
Fez,21,62
Illescas,17,61
Toro,3,61
Cartago,20,58
India,37,58
Tremecén,11,58
Marruecos,32,57
Plasencia,11,57
Alcalá de Henares,20,56
Cádiz,31,50
Etiopía,37,50
Vizcaya,30,50
Dalmacia,13,49
Escitia,44,49
Lima,14,49
Babilonia,37,48
Austria,27,47
Alba (Italia),1,46
Bruselas,10,46
Ávila,18,46
Cerdeña,13,45
Gibraltar,16,44
Biserta,16,43
Chile,7,43
Indias orientales,35,43
Jerez,15,42
Cartagena,20,41
Cartama,3,41
Berbería,28,40
Belén,16,38
Macedonia,11,38
Holanda,10,37
Medina del Campo,7,37
Fuenteovejuna,1,36
Lerma,5,36
Pamplona,15,36
Urbino,1,36
Belflor,8,34
Creta,14,34
Denia,20,34
México,9,34
Triana,14,34
Brasil,5,33
Calabria,7,33
Ciudad Real,8,33
Membrilla,1,33
Santiago de Compostela,20,33
Soto de Madrid,6,33
Belgrado,6,31
Frisia,6,31
Guadarrama,22,31
Oviedo,15,31
Calle Mayor,16,30
Ocaña,4,30
Tebas,23,30
Transilvania,11,30
La Meca,20,29
Barajas,1,28
Benavides,1,28
Cataluña,20,28
Lorca,4,28
Marsella,21,28
Sanlúcar,16,28
Écija,13,28
Jarama,12,27
Tenerife,4,27
Canarias,6,26
Coín,1,26
Parma,5,26
Talavera,14,26
Bengala,3,25
Dinamarca,9,25
Occidente,19,25
Sierra Morena,18,25
Berganza,2,24
Bolonia,14,24
Getafe,9,24
Moncada,4,24
Norte,24,24
Alejandría,10,23
Palencia,7,23
Alicante,17,22
Pirineos,18,22
Atocha,9,21
Guadalquivir,17,21
Huesca,2,21
Perpiñán,8,21
Segovia,16,21
Siria,14,21
Ceuta,13,20
Mallorca,14,20
Palermo,8,20
Panamá,1,20
Tánger,13,20
Armenia,10,19
Benavente,6,19
Borgoña,9,19
Jaca,9,19
La Vera,1,19
Alcázar de Sevilla,3,18
Alcázar de Toledo,11,18
Barleta,1,18
Casa de Campo,6,18
Córcega,6,18
El Cairo,10,18
Montalbán,2,18
Sión,8,18
Tartaria,7,18
Verona,1,18
Viena,8,18
Alhama,5,17
Fuentes,2,17
Mesina,8,17
Moscovia,2,17
Málaga,12,17
Rosellón,5,17
Tudela,5,17
Ibernia,1,16
Lombardía,9,16
Mastrique,1,16
Nilo,16,16
Olmedo,2,16
Saboya,10,16
San Dionís,11,16
Astorga,11,15
Cuenca,13,15
Ganges,10,15
Judea,10,15
Lusitania,10,15
Siena,1,15
Alcázar de Madrid,9,14
Fenicia,11,14
Gran Canaria,2,14
La Mancha,13,14
Las Batuecas,1,14
Palestina,10,14
Pavía,5,14
Poniente,14,14
Potosí,10,14
Santa Fe,3,14
Turquía,13,14
Villena,7,14
Alpes,11,13
Aranjuez,6,13
Bélmez,1,13
Corinto,7,13
Cáucaso,13,13
Ebro,9,13
Lepanto,7,13
Líbano,12,13
Moraña,1,13
Namur,6,13
Nazaret,7,13
San Martín,7,13
Tormes,6,13
Villalba,4,13
Albaicín,7,12
Antequera,8,12
Bibarrambla,7,12
Calahorra,3,12
Duero,10,12
Ferrol,4,12
Guinea,9,12
Jordán,10,12
Martos,5,12
Numancia,9,12
Provenza,6,12
Vega de Toledo,5,12
Vivar,5,12
Almería,11,11
Calatrava,3,11
Cambrai,4,11
Castellón,1,11
Danubio,8,11
Extremadura,9,11
La Rochela,8,11
Medina Sidonia,5,11
Moncayo,8,11
Noruega,9,11
Palma,3,11
Roncesvalles,3,11
Salas,1,11
Suecia,4,11
Sur,11,11
Tarudante,6,11
Viseo,3,11
Vitoria,10,11
Alba Real,3,10
Algarve,7,10
Amalfi,1,10
Andújar,4,10
Arles,2,10
Baza,5,10
Campos Elíseos,10,10
Castilla y León,9,10
Catania,1,10
Chatelete,1,10
Chincoya,1,10
Epiro,5,10
Etna,10,10
Fraga,1,10
Fuenterrabía,6,10
Gelanda,4,10
Iznatorafe,1,10
La Habana,10,10
Laberinto,1,10
Levante,10,10
Miraflor,3,10
Rodas,6,10
San Felipe,4,10
San Sebastián,6,10
Santángel,7,10
Tiro,4,10
Villaverde,1,10
Alcalá,4,9
Alpujarras,7,9
Atlántico,7,9
Bibataubín,5,9
Coimbra,5,9
Colonia,6,9
Gante,6,9
Genil,5,9
Guadalajara,7,9
Las Navas,1,9
Lesbos,1,9
Lieja,3,9
Loreto,9,9
Lérida,2,9
Melilla,8,9
Narbona,7,9
Nínive,1,9
Ronda,5,9
Sajonia,5,9
San Nicolás,2,9
Tesalia,8,9
Vega de Granada,5,9
Vélez de la Gomera,1,9
Adamuz,4,8
Amberes,4,8
Antártico,5,8
Bayona,5,8
Budapest,4,8
Calle de los Gomeles,4,8
Ceilán,7,8
Dacia,3,8
Damasco,8,8
Dinádamar,6,8
Farsalia,8,8
Haití,1,8
Hircania,8,8
Indias,2,8
Leganés,3,8
Media,3,8
Monasterio de Monserrat,5,8
Olías,3,8
Ostia,5,8
Plaza de Zocodover,8,8
Sagunto,7,8
San Juan,6,8
San Juan de Aznalfarache,5,8
Sarria,2,8
Sidonia,1,8
Sierra Nevada,7,8
Tablada,5,8
Tolosa,6,8
Trípoli,6,8
Turia,5,8
Ancona,2,7
Baeza,5,7
Brandenburgo,5,7
Cabildo de Sevilla,1,7
Carmona,6,7
Castillo de San Cervantes,4,7
Colibre,6,7
Coria,5,7
Cólquida,4,7
Dueñas,3,7
Famagusta,2,7
Galilea,5,7
Iberia,2,7
Japón,7,7
Palma del Río,2,7
Pescara,2,7
Rin,6,7
Rusia,3,7
San Geán,1,7
San Miguel el Alto,4,7
Templo de Vesta,4,7
Teruel,2,7
Tetuán,4,7
Tracia,4,7
Vinaròs,6,7
Alcántara,6,6
Algeciras,5,6
América,5,6
Arcila,4,6
Ardea,1,6
Asiria,1,6
Asti,3,6
Aveiro,1,6
Ayamonte,4,6
Bahamas,6,6
Barbadillo,1,6
Béjar,5,6
Canaán,2,6
Ciudad Rodrigo,5,6
Convento de Santa María de Jesús,2,6
Gaeta,5,6
Galia,5,6
Ginebra,6,6
Guadalete,6,6
Guadiana,5,6
Mazagán,3,6
Mesopotamia,3,6
Móstoles,2,6
Nueva España,4,6
Numidia,3,6
Otero,1,6
Plaza de San Marcos,3,6
Roremonda,1,6
Samaria,5,6
San Andrés,2,6
San Antón,4,6
Sangüesa,1,6
Sansueña,4,6
Tarifa,5,6
Torre de Comares,4,6
Torre del Oro,5,6
Torres Bermejas,3,6
Trujillo,3,6
Vera,2,6
Almagro,2,5
Almenar,1,5
Anglante,2,5
Aranda,3,5
Ardenia,2,5
Argos,5,5
Arjona,3,5
Arlanza,3,5
Azamor,5,5
Bujía,3,5
Bura,1,5
Carmen,3,5
Cathay,1,5
Cesaraugusta,4,5
Cilia,1,5
Concepción,3,5
Corfú,3,5
Dobla,1,5
Fráncfort,1,5
Grao,2,5
Guadalupe,5,5
Iglesia de la Magdalena,5,5
La Coruña,5,5
La Sagra de Toledo,2,5
Lacedemonia,5,5
Lemos,5,5
Lerín,3,5
Mar del Sur,5,5
Mediterráneo,5,5
Menfis,5,5
Miño,4,5
Monte Látmo,5,5
Monte Parnaso,5,5
Montilla,3,5
Monviedro,3,5
Osuna,3,5
Peñalén,1,5
Ragés,1,5
Ribadeo,2,5
San Francisco,4,5
San Ponce de Tomaras,1,5
San Salvador,4,5
Santillana,4,5
Torino,2,5
Torrejón de Ardoz,1,5
Trapobana,5,5
Urgel,3,5
Villarreal,1,5
Alcalá la Real,1,4
Alcaraz,2,4
Alcolea,4,4
Alcorcón,4,4
Antioquía,4,4
Austro,4,4
Bahía,1,4
Barucoa,1,4
Belmirar,2,4
Bermudas,4,4
Biarne,4,4
Cabra,3,4
Candia,3,4
Castilnovo,3,4
Catay,3,4
Dauro,2,4
El Escorial,3,4
Formentera,4,4
Gandía,3,4
Garganta la Olla,1,4
Gaza,4,4
Gelves,4,4
Gradas,3,4
Guanahami,1,4
Guyana,1,4
Hipona,2,4
Ibiza,4,4
Iglesia de San Román,1,4
Irún,3,4
Java,4,4
Leteo,4,4
Lucemburque,2,4
Lugo,4,4
Mar Bermejo,4,4
Monforte,3,4
Morón,1,4
Motril,2,4
Nisa,1,4
Nitria,1,4
Nájera,4,4
Oliva,3,4
Orgaz,2,4
Otranto,2,4
Palacio,2,4
Perú,4,4
Piamonte,3,4
Plaza Mayor,2,4
Purén,1,4
Requena,3,4
Ribadavia,3,4
Río de la Plata,3,4
Sahagún,4,4
Santa Leocadia,1,4
Santa María,2,4
Sena,4,4
Susa,2,4
