Place_name,Occurrences,Plays
España,2820,293
Castilla,1316,168
Francia,1097,185
Roma,1059,223
Madrid,893,113
Toledo,882,138
Aragón,860,107
Sevilla,782,112
Italia,715,204
Granada,614,89
León,496,64
Nápoles,478,85
Valencia,425,80
París,405,62
Flandes,386,124
Argel,368,87
Troya,349,193
Navarra,307,58
Hungría,303,47
Portugal,300,83
Milán,291,57
África,256,99
Barcelona,250,66
Grecia,232,130
Córdoba,224,78
Sicilia,217,55
Inglaterra,217,57
Zaragoza,212,51
Tajo,195,75
Alemania,185,79
Indias occidentales,183,64
Florencia,180,28
Asia,175,65
Jerusalén,147,54
Orán,140,41
Libia,136,79
Ferrara,135,15
Alba,133,31
Europa,128,88
Burgos,124,23
Salamanca,121,43
Prado,121,31
Albania,121,33
Bretaña,121,17
Persia,116,45
Egipto,114,63
Venecia,114,42
Génova,114,25
Galicia,106,41
Arabia,89,65
Valladolid,88,35
Malta,87,16
Asturias,85,26
Zamora,85,32
Atenas,84,33
Lisboa,82,27
Murcia,81,9
Túnez,80,31
Fez,80,26
Mantua,79,16
Betis,77,49
Polonia,77,15
Arcadia,74,20
Andalucía,74,47
Escocia,73,16
Manzanares,71,27
Israel,69,33
Constantinopla,69,39
Londres,68,14
Jaén,67,19
Cleves,67,10
Alhambra,66,21
Irlanda,66,12
Bohemia,65,17
Toro,64,7
China,63,53
Chipre,63,32
Alcalá de Henares,62,20
Cartago,61,20
Marruecos,61,34
Illescas,61,17
India,59,38
Escitia,59,52
Tremecén,58,11
Plasencia,57,11
Cádiz,56,32
Cerdeña,56,14
Triana,55,16
Etiopía,52,39
Vizcaya,50,30
Lima,49,14
Dalmacia,49,13
Babilonia,49,38
Medina del Campo,49,8
Berbería,48,31
Austria,48,28
Belén,48,17
Bruselas,46,10
Alba (Italia),46,1
Indias orientales,45,37
Ávila,45,17
Gibraltar,45,17
Cartama,45,3
Tebas,43,28
Chile,43,7
Jerez,43,16
Biserta,43,16
Macedonia,43,12
Ocaña,42,5
Cartagena,41,20
Nilo,40,39
Sanlúcar,40,20
Archidona,39,8
Holanda,37,10
Pamplona,36,15
Lerma,36,5
Alejandría,36,18
Urbino,36,1
Fuenteovejuna,36,1
Santiago de Compostela,35,21
Soto,34,6
Denia,34,20
México,34,9
Creta,34,14
Membrilla,34,2
Brasil,33,5
Calabria,33,7
Ciudad Real,33,8
Atocha,31,12
Calle Mayor,31,17
Guadarrama,31,22
Ebro,31,19
Oviedo,31,15
Frisia,31,6
Belgrado,31,6
La Meca,30,21
Canarias,30,8
Transilvania,30,11
Barajas,29,2
Cataluña,28,20
Jarama,28,13
Marsella,28,21
Saboya,28,16
Écija,28,13
Benavides,28,1
Lorca,28,4
Ganges,27,17
Mastrique,27,3
Tenerife,27,4
Genil,27,13
Medina Sidonia,26,6
Parma,26,5
Talavera,26,14
Coín,26,1
Pirineos,25,20
Dinamarca,25,9
Borgoña,25,11
Bolonia,25,15
Bengala,25,3
Sierra Morena,24,17
Getafe,24,9
Moncada,24,4
Lerín,24,5
Berganza,24,2
Guadalquivir,23,19
Palencia,23,7
Siria,22,15
Tiro,22,7
Grao,22,7
Sión,22,9
Huesca,22,3
Alicante,22,17
Nazaret,22,8
Segovia,21,16
Perpiñán,21,8
Fuentes,21,6
Alcázar de Toledo,20,12
Ceuta,20,13
Palermo,20,8
Mesina,20,11
Tánger,20,13
Mallorca,20,14
La Vera de Plasencia,20,2
Verona,20,1
Panamá,20,1
Villalba,19,5
El Cairo,19,11
Jaca,19,9
Armenia,19,10
Tartaria,19,7
Benavente,19,6
Montalbán,19,3
Casa de Campo,18,6
Alcázar de Sevilla,18,3
Córcega,18,6
Gante,18,9
Andújar,18,4
Barleta,18,1
Viena,18,8
Málaga,17,12
Siena,17,1
Judea,17,12
Rosellón,17,5
Tudela,17,5
Faro,17,2
Moscovia,17,2
Alhama,17,5
Jordán,17,15
Turquía,16,14
Lombardía,16,9
