EPOCH	TIMESTAMP	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	09:59:04	0.0000	0.1755	0.0079	0.7654	0.9254	0.8378	0.7209
2	10:13:36	0.0000	0.0059	0.0080	0.7654	0.9254	0.8378	0.7209
3	10:28:09	0.0000	0.0049	0.0080	0.7654	0.9254	0.8378	0.7209
4	10:42:36	0.0000	0.0036	0.0081	0.7654	0.9254	0.8378	0.7209
5	10:57:02	0.0000	0.0034	0.0081	0.7654	0.9254	0.8378	0.7209
6	11:11:27	0.0000	0.0026	0.0082	0.7654	0.9254	0.8378	0.7209
7	11:25:51	0.0000	0.0017	0.0082	0.7654	0.9254	0.8378	0.7209
8	11:40:14	0.0000	0.0012	0.0082	0.7654	0.9254	0.8378	0.7209
9	11:54:39	0.0000	0.0012	0.0083	0.7654	0.9254	0.8378	0.7209
10	12:09:05	0.0000	0.0007	0.0083	0.7654	0.9254	0.8378	0.7209
11	12:23:30	0.0000	0.0010	0.0083	0.7654	0.9254	0.8378	0.7209
12	12:37:56	0.0000	0.0004	0.0084	0.7654	0.9254	0.8378	0.7209
13	12:52:22	0.0000	0.0002	0.0084	0.7654	0.9254	0.8378	0.7209
14	13:06:46	0.0000	0.0003	0.0085	0.7654	0.9254	0.8378	0.7209
15	13:21:10	0.0000	0.0007	0.0085	0.7654	0.9254	0.8378	0.7209
16	13:35:35	0.0000	0.0001	0.0085	0.7654	0.9254	0.8378	0.7209
17	13:49:58	0.0000	0.0003	0.0085	0.7654	0.9254	0.8378	0.7209
18	14:04:22	0.0000	0.0002	0.0085	0.7654	0.9254	0.8378	0.7209
19	14:18:45	0.0000	0.0001	0.0085	0.7654	0.9254	0.8378	0.7209
20	14:33:10	0.0000	0.0000	0.0085	0.7654	0.9254	0.8378	0.7209
