EPOCH	TIMESTAMP	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	18:47:38	0.0000	0.4547	0.0788	0.8549	0.8735	0.8641	0.7907
2	18:54:35	0.0000	0.0681	0.0791	0.8585	0.8755	0.8669	0.7953
3	19:01:34	0.0000	0.0554	0.0793	0.8585	0.8755	0.8669	0.7953
4	19:08:33	0.0000	0.0447	0.0793	0.8638	0.8775	0.8706	0.8014
5	19:15:32	0.0000	0.0377	0.0795	0.8658	0.8794	0.8725	0.8032
6	19:22:31	0.0000	0.0314	0.0797	0.8658	0.8794	0.8725	0.8032
7	19:29:28	0.0000	0.0261	0.0799	0.8655	0.8775	0.8714	0.8014
8	19:36:26	0.0000	0.0251	0.0800	0.8655	0.8775	0.8714	0.8014
9	19:43:24	0.0000	0.0188	0.0801	0.8655	0.8775	0.8714	0.8014
10	19:50:22	0.0000	0.0171	0.0802	0.8655	0.8775	0.8714	0.8014
11	19:57:21	0.0000	0.0134	0.0803	0.8655	0.8775	0.8714	0.8014
12	20:04:20	0.0000	0.0130	0.0804	0.8655	0.8775	0.8714	0.8014
13	20:11:18	0.0000	0.0115	0.0805	0.8655	0.8775	0.8714	0.8014
14	20:18:13	0.0000	0.0088	0.0806	0.8655	0.8775	0.8714	0.8014
15	20:25:07	0.0000	0.0086	0.0806	0.8655	0.8775	0.8714	0.8014
16	20:32:02	0.0000	0.0074	0.0807	0.8655	0.8775	0.8714	0.8014
17	20:38:57	0.0000	0.0053	0.0808	0.8655	0.8775	0.8714	0.8014
18	20:45:52	0.0000	0.0050	0.0808	0.8655	0.8775	0.8714	0.8014
19	20:52:48	0.0000	0.0045	0.0808	0.8655	0.8775	0.8714	0.8014
20	20:59:44	0.0000	0.0041	0.0808	0.8655	0.8775	0.8714	0.8014
